distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type
1,32.00000148,22.99999968,Local
53,32.00000148,22.99999968,Local
54,32.00000148,22.99999968,Local
239,32.00000148,22.99999968,Local
240,32.00000148,22.99999968,Local
697,32.00000148,22.99999968,Local
698,32.00000148,22.99999968,Local
754,32.00000148,22.99999968,Local
755,32.00000148,27.0,Local
781,32.00000148,28.00000116,Local
802,32.00000148,28.99999908,Local
826,32.00000148,24.000001200000003,Local
851,32.00000148,25.00000092,Local
862,32.00000148,27.0,Local
868,32.00000148,27.0,Local
869,32.00000148,22.99999968,Local
875,32.00000148,16.00000092,Local
918,32.00000148,12.000000600000002,Local
933,32.00000148,10.00000044,Local
963,32.00000148,10.00000044,Local
964,32.00000148,22.99999968,Local
989,32.00000148,28.00000116,Local
1010,32.00000148,27.0,Local
1038,32.00000148,30.000002400000003,Local
1076,32.00000148,28.00000116,Local
1132,32.00000148,28.99999908,Local
1219,32.00000148,32.00000148,Local
1281,32.00000148,24.000001200000003,Local
1296,32.00000148,27.0,Local
1323,32.00000148,28.99999908,Local
1344,32.00000148,31.000001759999996,Local
1359,32.00000148,30.000002400000003,Local
1373,32.00000148,24.000001200000003,Local
1405,32.00000148,15.000001200000002,Local
1436,32.00000148,27.0,Local
1482,32.00000148,31.000001759999996,Local
1515,32.00000148,31.000001759999996,Local
1574,32.00000148,28.99999908,Local
1583,32.00000148,32.00000148,Local
1586,32.00000148,31.000001759999996,Local
1605,32.00000148,21.0000006,Local
1654,32.00000148,28.00000116,Local
1718,32.00000148,32.00000148,Local
1733,32.00000148,30.000002400000003,Local
1786,32.00000148,31.000001759999996,Local
1817,32.00000148,22.99999968,Local
1866,32.00000148,34.00000092,Local
1984,32.00000148,33.0000012,Local
2005,32.00000148,30.000002400000003,Local
2021,32.00000148,33.0000012,Local
2057,32.00000148,24.000001200000003,Local
2150,32.00000148,15.000001200000002,Local
2184,32.00000148,15.000001200000002,Local
2185,32.00000148,27.0,Local
2280,32.00000148,22.99999968,Local
2321,32.00000148,13.00000032,Local
2346,32.00000148,20.00000088,Local
2368,32.00000148,20.00000088,Local
2369,32.00000148,28.99999908,Local
2393,32.00000148,32.00000148,Local
2451,32.00000148,33.0000012,Local
2493,32.00000148,32.00000148,Local
2526,32.00000148,36.0,Local
2541,32.00000148,32.00000148,Local
2577,32.00000148,30.000002400000003,Local
2608,32.00000148,24.000001200000003,Local
2646,32.00000148,22.99999968,Local
2657,32.00000148,30.000002400000003,Local
2716,32.00000148,28.00000116,Local
2744,32.00000148,31.000001759999996,Local
2798,32.00000148,33.0000012,Local
2816,32.00000148,32.00000148,Local
2834,32.00000148,33.0000012,Local
2853,32.00000148,33.0000012,Local
2988,32.00000148,35.00000028,Local
3031,32.00000148,34.00000092,Local
3061,32.00000148,32.00000148,Local
3083,32.00000148,17.000000280000002,Local
3149,32.00000148,17.000000280000002,Local
3150,32.00000148,20.00000088,Access
3168,32.00000148,24.000001200000003,Access
3193,32.00000148,28.99999908,Access
3247,32.00000148,34.00000092,Access
3255,32.00000148,33.0000012,Access
3279,32.00000148,34.00000092,Access
3289,32.00000148,31.000001759999996,Access
3297,32.00000148,33.0000012,Access
3344,32.00000148,33.0000012,Access
3383,32.00000148,35.00000028,Access
3418,32.00000148,34.00000092,Access
3455,32.00000148,33.0000012,Access
3478,32.00000148,32.00000148,Access
3520,32.00000148,35.00000028,Access
3563,32.00000148,31.000001759999996,Access
3578,32.00000148,31.000001759999996,Access
3579,,,Local
