distance(m),HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,0.00025506588842682637,0.024149562520856125,0.0019300473246444546,3.696369903826886,11.65465412729743,5.6774858097708804e-05,8.5162291134648e-06,0.0008399999812245384
57,4.5547480076219e-06,0.0004312421878724308,3.44651307972224e-05,0.0660066054254801,0.2081188237017398,1.0138367517448e-06,1.520755198833e-07,1.4999999664723899e-05
58,0.0005237960208765185,0.049592851605329544,0.003963490041680577,7.590759623930212,23.93366472570008,0.00011659122645065201,1.74886847865795e-05,0.0017249999614432484
173,4.5547480076219e-06,0.0004312421878724308,3.44651307972224e-05,0.0660066054254801,0.2081188237017398,1.0138367517448e-06,1.520755198833e-07,1.4999999664723899e-05
174,0.000683212201143285,0.06468632818086462,0.005169769619583361,9.900990813822014,31.21782355526097,0.00015207551276172,2.2811327982495e-05,0.0022499999497085847
324,0.000449513556101986,0.04051331156403852,0.0034200018230065277,7.1146690606701455,22.432551145111184,0.00010330476038181551,1.54957152938365e-05,0.0014249999681487705
419,0.0002946095098432842,0.02815958419926075,0.0022068563073305045,4.167452740943294,13.139978343486344,6.57219746934951e-05,9.858296719308201e-06,0.0010049999775365013
486,0.0001810861571553177,0.01672511295992003,0.001374070415762815,2.747508192590802,8.66289318598686,4.0974477570101396e-05,6.1461720282066e-06,0.0005849999869242321
525,0.00029605862049542347,0.028030742211708003,0.002240233501819456,4.290429352656207,13.527723540613088,6.5899388863412e-05,9.8849087924145e-06,0.0009749999782070535
590,0.00016288423634900622,0.014445256531392179,0.001241396047961725,2.6469952505114724,8.345975868788212,3.78061565551934e-05,5.670923992647801e-06,0.0005099999886006126
624,0.000143721385013829,0.01274581458652251,0.001095349454083875,2.3355840445689457,7.364096354813128,3.3358373431052995e-05,5.003756464101e-06,0.00044999998994171695
654,0.00010344897293636178,0.009399579724380738,0.0007863724990777875,1.615030535711183,5.0921911895394185,2.3653407861102797e-05,3.5480114439131996e-06,0.00032999999262392575
676,0.00017507370079761559,0.015778868714415,0.0013320007100130686,2.7709763709978463,8.736888340727514,4.02344856223913e-05,6.035173324967899e-06,0.0005549999875947842
713,5.71346067981288e-05,0.005107898386229994,0.0004350700054014696,0.9164643253365881,2.8896119647795984,1.31961858417312e-05,1.9794280442472e-06,0.00017999999597668678
725,0.00017458934679006837,0.015237542152747629,0.0013328380155545677,2.9093166851920427,9.173075330684556,4.09130299371564e-05,6.1369551006444e-06,0.0005399999879300603
761,9.05619715901536e-05,0.007520999671267086,0.0006934580501209789,1.6016788018862056,5.050093368578331,2.1565119882286303e-05,3.234768235208e-06,0.0002549999943003063
778,0.0001783477128589797,0.0156903226012953,0.0013603961435672645,2.935342346263427,9.255134241514325,4.1595748444632494e-05,6.2393628573601e-06,0.0005549999875947842
815,4.8202084556481e-06,0.0004240627730079812,3.6767463339655796e-05,0.07933357692603858,0.25013876328417095,1.1242094174225e-06,1.686314285773e-07,1.4999999664723899e-05
816,0.00012670706590956122,0.012097117254415105,0.0009578608382209777,1.8067231948034157,5.6965981483305,2.80440468591556e-05,4.206607200768e-06,0.0004199999906122692
