distance_m,maxSpeed_km_per_h,trafficSpeed_km_per_h,baseSpeed_km_per_h,road,road_number,actions,road_type
1,32.00000148,22.999999680000002,22.999999680000002,Ennismore Gardens Mews,,,Local
53,32.00000148,22.999999680000002,22.999999680000002,Ennismore Gardens Mews,,turn (left),Local
54,32.00000148,22.999999680000002,22.999999680000002,Princes Gardens,,,Local
239,32.00000148,22.999999680000002,22.999999680000002,Princes Gardens,,turn (right),Local
240,32.00000148,22.999999680000002,22.999999680000002,Exhibition Road,,,Local
454,32.00000148,22.999999680000002,22.999999680000002,Exhibition Road,,turn (left),Local
455,32.00000148,28.00000116,30.000002400000003,Kensington Road,A315,,Local
480,32.00000148,34.00000092,35.00000028,Kensington Road,A315,,Local
513,32.00000148,33.0000012,36.0,Kensington Road,A315,,Local
556,32.00000148,30.000002400000003,35.00000028,Kensington Road,A315,,Local
618,32.00000148,34.00000092,35.00000028,Kensington Road,A315,,Local
628,32.00000148,32.00000148,35.00000028,Kensington Road,A315,,Local
658,32.00000148,33.0000012,36.99999972,Kensington Road,A315,,Local
704,32.00000148,34.00000092,36.0,Kensington Road,A315,,Local
801,32.00000148,31.000001759999996,31.000001759999996,Kensington Road,A315,,Local
824,32.00000148,27.0,27.0,Kensington Road,A315,,Local
849,32.00000148,33.0000012,35.00000028,Kensington Road,A315,,Local
854,32.00000148,35.00000028,36.0,Kensington Road,A315,,Local
860,32.00000148,32.00000148,34.00000092,Kensington Road,A315,,Local
871,32.00000148,34.00000092,36.0,Kensington Road,A315,,Local
915,32.00000148,38.00000268,39.00000240000001,Kensington Road,A315,,Local
936,32.00000148,39.00000240000001,39.00000240000001,Kensington Road,A315,,Local
998,32.00000148,35.00000028,36.0,Kensington Road,A315,,Local
1006,32.00000148,35.00000028,36.99999972,Kensington Road,A315,,Local
1031,32.00000148,35.00000028,35.00000028,Kensington Road,A315,,Local
1060,32.00000148,27.0,27.0,Kensington Road,A315,,Local
1090,32.00000148,22.00000032,24.000001200000003,Kensington Road,A315,,Local
1117,32.00000148,28.999999080000002,31.000001759999996,Kensington Road,A315,,Local
1132,32.00000148,33.0000012,35.00000028,Kensington Road,A315,,Local
1154,32.00000148,36.99999972,36.99999972,Kensington Road,A315,,Local
1184,32.00000148,36.0,36.0,Kensington Road,A315,,Local
1242,32.00000148,36.99999972,38.00000268,Kensington Road,A315,,Local
1254,32.00000148,35.00000028,36.0,Kensington Road,A315,,Local
1368,32.00000148,30.000002400000003,31.000001759999996,Kensington Road,A315,,Local
1428,32.00000148,32.00000148,33.0000012,Kensington Road,A315,,Local
1468,32.00000148,28.00000116,30.000002400000003,Kensington Road,A315,,Local
1489,32.00000148,32.00000148,33.0000012,Kensington Road,A315,,Local
1515,32.00000148,28.00000116,30.000002400000003,Kensington Road,A315,,Local
1544,32.00000148,14.00000076,14.00000076,Kensington Road,A315,,Local
1609,32.00000148,24.000001200000003,24.000001200000003,Kensington Road,A315,,Local
1625,32.00000148,30.000002400000003,30.000002400000003,Kensington Road,A315,,Local
1683,32.00000148,32.00000148,33.0000012,Kensington Road,A315,,Local
1722,32.00000148,28.999999080000002,28.999999080000002,Kensington Road,A315,,Local
1748,32.00000148,24.000001200000003,26.000000280000002,Kensington Road,A315,,Local
1800,32.00000148,27.0,27.0,Kensington Road,A315,,Local
1816,32.00000148,28.999999080000002,28.999999080000002,Kensington Road,A315,,Local
1843,32.00000148,28.999999080000002,30.000002400000003,Kensington Road,A315,,Local
1867,32.00000148,24.000001200000003,26.000000280000002,Kensington Road,A315,,Local
1891,32.00000148,32.00000148,33.0000012,Kensington Road,A315,,Local
1902,32.00000148,32.00000148,32.00000148,Kensington Road,A315,,Local
1918,32.00000148,32.00000148,33.0000012,Kensington Road,A315,,Local
1932,32.00000148,28.999999080000002,28.999999080000002,Kensington Road,A315,,Local
1972,32.00000148,31.000001759999996,31.000001759999996,Kensington Road,A315,,Local
2023,32.00000148,35.00000028,35.00000028,Kensington Road,A315,,Local
2101,32.00000148,34.00000092,35.00000028,Kensington Road,A315,,Local
2132,32.00000148,33.0000012,34.00000092,Kensington Road,A315,,Local
2141,32.00000148,30.000002400000003,30.000002400000003,Kensington Road,A315,,Local
2160,32.00000148,27.0,28.00000116,Kensington Road,A315,,Local
2180,32.00000148,16.00000092,16.00000092,Kensington Road,A315,,Local
2217,32.00000148,25.00000092,27.0,Kensington Road,A315,,Local
2230,32.00000148,25.00000092,27.0,Kensington Road,A315,turn (left),Local
2231,32.00000148,22.00000032,22.00000032,Earls Court Road,B316,,Access
